類別	名稱	地址	縣市	鄉鎮	經度	緯度
7-11	上弘	台北市松山區敦化北路168號B2	台北市	松山區	121.54828739089498	25.056390968531797
7-11	小巨蛋	台北市松山區南京東路四段2號1樓	台北市	松山區	121.549433	25.050943999999998
7-11	中崙	台北市松山區八德路三段27號	台北市	松山區	121.552737	25.048396
7-11	北體	台北市松山區北寧路66號	台北市	松山區	121.55284999999999	25.050888
7-11	台場	台北市松山區八德路三段20-2號	台北市	松山區	121.551158	25.048085999999998
7-11	市大	台北市松山區市民大道路四段105號	台北市	松山區	121.548085	25.045126999999997
7-11	民有	台北市松山區民權東路三段108號	台北市	松山區	121.54499799999999	25.061936
7-11	民復	台北市松山區民生東路四段130號	台北市	松山區	121.555146	25.058106
7-11	吉仁	台北市松山區延吉街27-1號1樓	台北市	松山區	121.55368899999999	25.04607
7-11	吉盛	台北市松山區南京東路五段66巷3弄1號1樓	台北市	松山區	121.560964399935	25.0509419492939
7-11	吉祥	台北市松山區八德路四段245巷52弄31號	台北市	松山區	121.562671	25.050397999999998
7-11	京育	台北市松山區南京東路四段66號寧安街68巷25號	台北市	松山區	121.55401699999999	25.051416999999997
7-11	京佳	台北市松山區南京東路五段229號231號1樓	台北市	松山區	121.564605	25.051596
7-11	京東	台北市松山區南京東路五段16號1樓	台北市	松山區	121.558747	25.051325
7-11	京城	台北市松山區南京東路四段75之2號1樓	台北市	松山區	121.55356499999999	25.051819
7-11	京復	台北市松山區光復北路11巷44號	台北市	松山區	121.55946839880299	25.0496719448837
7-11	京發	台北市松山區南京東路五段139之4及139之8號	台北市	松山區	121.56161840043899	25.0517689521709
7-11	京運	台北市松山區南京東路三段262號1樓	台北市	松山區	121.54499799999999	25.051627999999997
7-11	京寶	台北市松山區南京東路五段291巷4之1號4之2號	台北市	松山區	121.56606099999999	25.051835999999998
7-11	延新	台北市松山區延壽街99號1樓	台北市	松山區	121.566252404005	25.0572969713977
7-11	延壽	台北市松山區延壽街422號	台北市	松山區	121.556423	25.056236
7-11	征東	台北市松山區新東街15巷1號	台北市	松山區	121.56590299999999	25.058555
7-11	征唐	台北市松山區新東街41-7號	台北市	松山區	121.565542	25.060340999999998
7-11	明塑	台北市松山區民生東路四段54號之2一樓	台北市	松山區	121.550862	25.057384
7-11	東光	台北市松山區南京東路五段15號1樓	台北市	松山區	121.557920397751	25.0518919526621
7-11	東吉	台北市松山區民生東路五段100號	台北市	松山區	121.56030839971599	25.058524975786
7-11	東復	台北市松山區復興北路313巷25號	台北市	松山區	121.546337389566	25.059074977936497
7-11	東勢	台北市松山區南京東路四段133巷6弄1號	台北市	松山區	121.55500699999999	25.052598
7-11	東榮	台北市松山區民生東路五段65號	台北市	松山區	121.558171	25.058645
7-11	東鑫	台北市松山區民生東路四段55巷10號	台北市	松山區	121.550472	25.058359
7-11	松民	台北市松山區三民路10號	台北市	松山區	121.56388	25.052391999999998
7-11	松禾	台北市松山區塔悠路31號33號	台北市	松山區	121.571303	25.050877999999997
7-11	松祐	台北市松山區饒河街90號1樓	台北市	松山區	121.574057	25.050324999999997
7-11	松航	台北市松山區敦化北路340-9號	台北市	松山區	121.551514393488	25.06371899407
7-11	松德	台北市松山區八德路四段755號1樓	台北市	松山區	121.577548	25.050645
7-11	松慶	台北市松山區慶城街1號1樓	台北市	松山區	121.54463	25.052768
7-11	松機	台北市松山區敦化北路340之10號1樓	台北市	松山區	121.549644	25.063817999999998
7-11	松饒	台北市松山區慈祐里八德路四段767號769號	台北市	松山區	121.57801099999999	25.051083
7-11	松觀	台北市松山區敦化北路340之10號3樓	台北市	松山區	121.550332	25.063731999999998
7-11	松鑽	台北市松山區八德路四段686號	台北市	松山區	121.576641	25.049882999999998
7-11	長塑	台北市松山區敦化北路199巷2弄9號1樓	台北市	松山區	121.550051392149	25.055525965482296
7-11	南京	台北市松山區南京東路三段303巷5號	台北市	松山區	121.546691	25.052477
7-11	威京	台北市松山區八德路四段151號	台北市	松山區	121.562569	25.048779999999997
7-11	風復	台北市松山區復興南路一段43號	台北市	松山區	121.544062	25.045676999999998
7-11	庫德	台北市松山區八德路二段366巷7號1樓	台北市	松山區	121.54606238899099	25.0478159386224
7-11	健一	台北市松山區健康路11號	台北市	松山區	121.552453	25.053224
7-11	婦聯	台北市松山區健康路224號	台北市	松山區	121.561080400121	25.053926959715998
7-11	清愿	台北市松山區八德路二段439號	台北市	松山區	121.54694599999999	25.048327
7-11	統威	台北市松山區東興路13-1號1樓15巷3號1樓	台北市	松山區	121.5655	25.050205
7-11	通盈	台北市松山區南京東路五段315號	台北市	松山區	121.56681940422298	25.0516509516713
7-11	復旦	台北市松山區敦化南路一段5號	台北市	松山區	121.549139	25.047157
7-11	復安	台北市松山區民生東路三段130巷2之1號1樓	台北市	松山區	121.54590638916899	25.056578969226898
7-11	復春	台北市松山區復興北路179號	台北市	松山區	121.544337	25.054422
7-11	復星	台北市松山區復興北路15-6號1樓	台北市	松山區	121.544235	25.048468
