類別	名稱	地址
OKmart	OK嘉義水上店	嘉義縣水上鄉柳子林路185-20號
OKmart	OK嘉義朴子店	嘉義縣朴子市南通路３段716號
OKmart	OK朴子開元店	嘉義縣朴子市開元路154號
OKmart	OK嘉義文化店	嘉義市西區中正路420號1樓
OKmart	OK嘉義國華店	嘉義市西區文化路167號
OKmart	OK嘉義新城店	嘉義市西區仁愛路220號
OKmart	OK南投新興店	南投縣南投市南營路218號
OKmart	OK南投南鄉店	南投縣南投市南鄉路377.379號
OKmart	OK南投南雲店	南投縣南投市大庄路201-1號
OKmart	OK南投復興店	南投縣南投市復興路461號1+2+3樓
OKmart	OK南投成功店	南投縣南投市成功三路317號1樓
OKmart	OK南投環鴻門市	南投縣南投市工業路330號
OKmart	OK南投僑建店	南投縣南投市彰南路３段802、804號
OKmart	OK埔里南昌店	南投縣埔里鎮西安路１段72.74號
OKmart	OK埔里西寧店	南投縣埔里鎮中山路３段106號
OKmart	OK埔里信義店	南投縣埔里鎮信義路961號1樓
OKmart	OK名間松嶺店	南投縣名間鄉松嶺街288號1樓
OKmart	OK名間華山店	南投縣名間鄉彰南路354-11、354-12號
OKmart	OK南投國姓店	南投縣國姓鄉中興路184號1樓
OKmart	OK草屯敦和店	南投縣草屯鎮敦和路47號1樓
OKmart	OK草屯中興店	南投縣草屯鎮中興路210號
OKmart	OK草屯虎山店	南投縣草屯鎮新生東路1號
OKmart	OK南投碧興店	南投縣草屯鎮碧興路１段3號
OKmart	OK草屯環鴻門市	南投縣草屯鎮太平路１段351巷141號B棟1樓
OKmart	OK南開科大門市	南投縣草屯鎮中正路568號
OKmart	OK竹山秀傳門市	南投縣竹山鎮集山路２段75號1樓
OKmart	OK吳鳳建國門市	嘉義縣民雄鄉建國路２段163之40號(學生宿舍)
OKmart	OK民雄山中店	嘉義縣民雄鄉山中村牛斗山209號1樓
OKmart	OK基隆華城店	基隆市暖暖區碇內街210、212號
OKmart	OK基隆源遠店	基隆市暖暖區源遠路299號
OKmart	OK基隆過港店	基隆市暖暖區過港路32號
OKmart	OK八堵八中店	基隆市暖暖區八堵路82號
OKmart	OK基隆暖碇店	基隆市暖暖區源遠路190號1樓
OKmart	OK嘉義南華店	嘉義縣大林鎮頂員林8-11號
OKmart	OK基隆孝四店	基隆市仁愛區孝四路11號
OKmart	OK基隆光華店	基隆市仁愛區成功一路133巷42-1號
OKmart	OK基隆南榮店	基隆市仁愛區南榮路7號
OKmart	OK基隆華三店	基隆市仁愛區華三街20號
OKmart	OK基隆南新店	基隆市仁愛區南新街60號
OKmart	OK基隆成功店	基隆市仁愛區成功一路43.45號
OKmart	OK基隆銘傳店	基隆市仁愛區劉銘傳路15、17號一樓
OKmart	OK基隆英仁店	基隆市仁愛區南榮路387號
OKmart	OK基隆延平店	基隆市仁愛區仁二路75號
OKmart	OK基隆三坑店	基隆市仁愛區龍安街200、200之1號1樓
OKmart	OK基隆獅球店	基隆市仁愛區獅球路41號1樓
OKmart	OK基隆愛一店	基隆市仁愛區愛一路26號1樓
OKmart	OK嘉義民權店	嘉義市東區民權路28號
OKmart	OK基隆中興店	基隆市信義區信二路93號1樓
OKmart	OK基隆信義店	基隆市信義區信二路28號
OKmart	OK基隆崇右門市	基隆市信義區義七路40號(格致樓一樓)
OKmart	OK基隆仁義店	基隆市信義區仁一路27號1樓
OKmart	OK基隆東信店	基隆市信義區東信路294、296號1樓
OKmart	OK基隆威鎮店	基隆市信義區正信路227巷21弄36號1樓
OKmart	OK基隆東峰店	基隆市信義區東峰街24號1樓
