類別	名稱	地址	電話
醫學中心	長庚醫療財團法人高雄長庚紀念醫院	高雄市鳥松區大埤路123號	07-7317123
醫學中心	財團法人私立高雄醫學大學附設中和紀念醫院	高雄市三民區十全一路100號	07-3121101
醫學中心	高雄榮民總醫院	高雄市左營區大中一路386號	07-3422121
醫學中心	彰化基督教醫療財團法人彰化基督教兒童醫院	彰化縣彰化市光南里13鄰旭光路320號、南校街135號	04-7238595
醫學中心	彰化基督教醫療財團法人彰化基督教醫院	彰化縣彰化市南校街135號、中華路176號、旭光路235、320號	04-7238595
醫學中心	臺中榮民總醫院	臺中市西屯區臺灣大道4段 1650號	04-23592525
醫學中心	中國醫藥大學附設醫院	臺中市北區育德路2號	04-22253181
醫學中心	中國醫藥大學兒童醫院	臺中市北區育德路1號、學士路95號、學士路2號	04-22253181
醫學中心	長庚醫療財團法人林口長庚紀念醫院	桃園市龜山區公西里復興街5號、5之7號、文化一路15號	03-3281200
醫學中心	長庚醫療財團法人台北長庚紀念醫院	臺北市松山區敦化北路199號	02-27135211
醫學中心	中山醫學大學附設醫院	臺中市南區建國北路一段110號	04-24739595
醫學中心	奇美醫療財團法人奇美醫院	臺南市永康區中華路901號、臺南市南區樹林街二段442號	06-2812811
醫學中心	國立成功大學醫學院附設醫院	臺南市北區勝利路138號	06-2353535
醫學中心	台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院	臺北市中山區中山北路2段92號	02-25433535
醫學中心	台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院	新北市淡水區民生路45號、民權路47號B1至10樓	02-28094661
醫學中心	新光醫療財團法人新光吳火獅紀念醫院	臺北市士林區文昌路95號及士商路51號1至7樓53、55號	02-28332211
醫學中心	台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院	臺北市中山區中山北路2段92號	02-25433535
醫學中心	醫療財團法人徐元智先生醫藥基金會亞東紀念醫院	新北市板橋區南雅南路2段21號及高爾富路300號	02-89667000
醫學中心	國泰醫療財團法人國泰綜合醫院	臺北市大安區仁愛路4段280號，266巷6號	02-27082121
醫學中心	佛教慈濟醫療財團法人花蓮慈濟醫院	花蓮縣花蓮市中央路3段707號	03-8561825
醫學中心	臺北榮民總醫院	臺北市北投區石牌路2段201號	02-28712121
醫學中心	三軍總醫院附設民眾診療服務處	臺北市內湖區成功路2段325號	02-87923311
醫學中心	臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理	臺北市文山區興隆路3段111號	02-29307930
醫學中心	國立臺灣大學醫學院附設醫院	臺北市中正區中山南路7、8號；常德街1號	02-23123456
醫學中心	國立臺灣大學醫學院附設醫院兒童醫院	臺北市中正區中山南路8號	02-23123456
地區醫院	衛生福利部臺東醫院成功分院	臺東縣成功鎮中山東路32號	089-324112
地區醫院	衛生福利部臺東醫院	臺東縣臺東市五權街1號	089-324112
地區醫院	天主教花蓮教區醫療財團法人台東聖母醫院	臺東縣臺東市民族里21鄰杭州街2號	089-322833
地區醫院	臺灣基督教門諾會醫療財團法人門諾醫院壽豐分院	花蓮縣壽豐鄉共和村魚池52號	03-8664600
地區醫院	衛生福利部玉里醫院	花蓮縣玉里鎮中華路448號	03-8886141
