類別	名稱	地址	縣市	鄉鎮
全家	全家中埔頂山門店	嘉義縣中埔鄉金蘭村頂山門６之２８號	嘉義縣	中埔鄉
全家	全家中埔檨仔林店	嘉義縣中埔鄉社口村１９鄰檨仔林２３－２號	嘉義縣	中埔鄉
全家	全家中埔和興店	嘉義縣中埔鄉和興村中山路五段９４３號	嘉義縣	中埔鄉
全家	全家中埔中華店	嘉義縣中埔鄉和睦村中華路６７８號	嘉義縣	中埔鄉
全家	全家中埔雙興店	嘉義縣中埔鄉和興村３３鄰中華路３０７號壹樓	嘉義縣	中埔鄉
全家	全家中埔興化店	嘉義縣中埔鄉富裕路４１３號	嘉義縣	中埔鄉
全家	全家水上鎮安店	嘉義縣水上鄉寬士村崎仔頭３１之２號	嘉義縣	水上鄉
全家	全家水上柳子林店	嘉義縣水上鄉柳林村１５００號	嘉義縣	水上鄉
全家	全家水上崎子頭店	嘉義縣水上鄉寬士村崎子頭７０１－８０號壹樓	嘉義縣	水上鄉
全家	全家水上福德店	嘉義縣水上鄉中正路１６１號、１６３號１樓	嘉義縣	水上鄉
全家	全家水上中興店	嘉義縣水上鄉中興路２７９號（配送用）	嘉義縣	水上鄉
全家	全家水上民生店	嘉義縣水上鄉民生村忠孝街８１號	嘉義縣	水上鄉
全家	全家朴子四海店	嘉義縣朴子市永和里應菜埔２９－６號	嘉義縣	朴子市
全家	全家朴子鴨母寮店	嘉義縣朴子市鴨母寮１之１８號	嘉義縣	朴子市
全家	全家朴子牛挑灣店	嘉義縣朴子市梅華里１０鄰牛挑灣６５之１號	嘉義縣	朴子市
全家	全家朴子樸仔腳店	嘉義縣朴子市竹圍里１１鄰大同路１６６號	嘉義縣	朴子市
全家	全家朴子南通店	嘉義縣朴子市南通路三段７６７號、７６９號１樓	嘉義縣	朴子市
全家	全家朴子嘉庚店	嘉義縣朴子市嘉朴路西段６號	嘉義縣	朴子市
全家	全家嘉義聖馬店	嘉義市東區大雅路二段５６５號二樓商店街	嘉義市	東區
全家	全家嘉義藍潭店	嘉義市東區大雅路二段５５７號	嘉義市	東區
全家	全家嘉義東雅店	嘉義市東區文雅街４１號	嘉義市	東區
全家	全家嘉義台林店	嘉義市東區頂庄里台林街２６０號	嘉義市	東區
全家	全家嘉義仁義店	嘉義市東區台林街９９號	嘉義市	東區
全家	全家嘉義文青店	嘉義市東區民族路４４２號（整棟全部）	嘉義市	東區
全家	全家嘉義芳草店	嘉義市東區芳草里１５鄰立仁路８號一樓	嘉義市	東區
全家	全家嘉義祥鳳店	嘉義市東區吳鳳北路１１２號１Ｆ	嘉義市	東區
全家	全家嘉義新東義店	嘉義市東區林森東路３１９巷６１號	嘉義市	東區
全家	全家嘉義保健店	嘉義市東區保健街１４９號	嘉義市	東區
全家	全家嘉義保義店	嘉義市東區保義路１６９號	嘉義市	東區
全家	全家嘉義宣信店	嘉義市東區宣信街２４８號	嘉義市	東區
全家	全家嘉義博東店	嘉義市東區博東路１８３號	嘉義市	東區
全家	全家嘉義興安店	嘉義市東區興安街１９９號	嘉義市	東區
全家	全家嘉義湖子內店	嘉義市東區興安里興美六路１５０號壹樓	嘉義市	東區
全家	全家嘉義日新店	嘉義市東區彌陀路２３８巷６９號	嘉義市	東區
全家	全家嘉義體育館店	嘉義市東區新開里體育路７３號	嘉義市	東區
全家	全家水里苒冉店	南投縣水里鄉水信路１段３８０號	南投縣	水里鄉
全家	全家鹿谷麒麟店	南投縣鹿谷鄉仁義路１０６號１樓	南投縣	鹿谷鄉
全家	全家鹿谷溪頭店	南投縣鹿谷鄉興產路２之３號１樓	南投縣	鹿谷鄉
全家	全家南投新村店	南投縣南投市營北里中正路３３０之６號、之１１號一樓	南投縣	南投市
全家	全家南投光明店	南投縣南投市中興路２２７號１樓	南投縣	南投市
全家	全家南投成功店	南投縣南投市自強一路１１５號	南投縣	南投市
全家	全家南投金袋店	南投縣南投市育樂路９９號１樓	南投縣	南投市
