類別	名稱	地址	縣市	鄉鎮	經度	緯度
全聯	宜蘭三星	(26641)宜蘭縣三星鄉中山路２段39號1樓	宜蘭縣	三星鄉	121.652376	24.668431
全聯	五結新生	(26845)宜蘭縣五結鄉五結路２段450號	宜蘭縣	五結鄉	121.796697	24.684774
全聯	冬山香和	(26948)宜蘭縣冬山鄉冬山路１段837號	宜蘭縣	冬山鄉	121.795949	24.631446
全聯	宜蘭北門	(26044)宜蘭縣宜蘭市中山路３段95號	宜蘭縣	宜蘭市	121.752661	24.758138
全聯	宜蘭三清	(26049)宜蘭縣宜蘭市三清路96號	宜蘭縣	宜蘭市	121.746229	24.755980
全聯	宜蘭健康	(26047)宜蘭縣宜蘭市健康路２段70.72.76.78號	宜蘭縣	宜蘭市	121.751355	24.747962
全聯	宜蘭復興	(26051)宜蘭縣宜蘭市復興路２段36號	宜蘭縣	宜蘭市	121.748906	24.748902
全聯	宜蘭泰山	(26052)宜蘭縣宜蘭市泰山路332號	宜蘭縣	宜蘭市	121.735884	24.750265
全聯	宜蘭新生	(26054)宜蘭縣宜蘭市中山路５段129號	宜蘭縣	宜蘭市	121.756636	24.770103
全聯	宜蘭嵐峰	(26066)宜蘭縣宜蘭市嵐峰路１段50.52號1樓	宜蘭縣	宜蘭市	121.754590	24.742741
全聯	宜蘭校舍	(26058)宜蘭縣宜蘭市校舍路116號	宜蘭縣	宜蘭市	121.761680	24.751503
全聯	宜蘭聖後	(26042)宜蘭縣宜蘭市聖後街68。70號	宜蘭縣	宜蘭市	121.757064	24.758560
全聯	宜蘭頭城	宜蘭縣頭城鎮開蘭路149號地下1樓	宜蘭縣	頭城鎮	121.823974	24.858999
全聯	頭城青雲	(26144)宜蘭縣頭城鎮青雲路３段298號	宜蘭縣	頭城鎮	121.826632	24.859170
全聯	礁溪	(26244)宜蘭縣礁溪鄉育才路1號	宜蘭縣	礁溪鄉	121.770253	24.821126
全聯	羅東中正	(26546)宜蘭縣羅東鎮中正南路88號	宜蘭縣	羅東鎮	121.771683	24.669789
全聯	羅東倉前	(26561)宜蘭縣羅東鎮倉前路49號	宜蘭縣	羅東鎮	121.770948	24.68047
全聯	羅東南門	(26545)宜蘭縣羅東鎮南門路86號	宜蘭縣	羅東鎮	121.767531	24.673055
全聯	羅東純精	(26549)宜蘭縣羅東鎮純精路２段230號1-2號	宜蘭縣	羅東鎮	121.764125	24.679017
全聯	羅東	(26563)宜蘭縣羅東鎮純精路１段8號	宜蘭縣	羅東鎮	121.766686	24.669031
全聯	羅東光榮	(26561)宜蘭縣羅東鎮光榮路200號	宜蘭縣	羅東鎮	121.777879	24.674074
全聯	羅東培英	(26543)宜蘭縣羅東鎮培英路2號	宜蘭縣	羅東鎮	121.763027	24.677304
全聯	羅東站前	(26548)宜蘭縣羅東鎮站前路18號	宜蘭縣	羅東鎮	121.558024	25.080954
全聯	蘇澳中山	(27044)宜蘭縣蘇澳鎮中山路１段157、159號	宜蘭縣	蘇澳鎮	121.847271	24.595843
全聯	玉里仁愛	(98143)花蓮縣玉里鎮仁愛路１段116號	花蓮縣	玉里鎮	121.317133	23.328688
全聯	花蓮玉里	(98143)花蓮縣玉里鎮和平路92號	花蓮縣	玉里鎮	121.314178	23.333448
全聯	花蓮光復	(97642)花蓮縣光復鄉中山路２段299-1、299-2號	花蓮縣	光復鄉	121.424458	23.667723
全聯	花蓮慶豐	(97365)花蓮縣吉安鄉中山路３段136、138號	花蓮縣	吉安鄉	121.573613	23.976568
全聯	吉安	(97342)花蓮縣吉安鄉中華路２段232號	花蓮縣	吉安鄉	121.582344	23.973780
全聯	花蓮建國	(97348)花蓮縣吉安鄉建國路１段119-3號	花蓮縣	吉安鄉	121.592359	23.985441
全聯	吉安自強	(97343)花蓮縣吉安鄉自強路281號	花蓮縣	吉安鄉	121.588146	23.981648
全聯	花蓮重慶	(97042)花蓮縣花蓮市重慶路331、333號	花蓮縣	花蓮市	121.607603	23.971684
全聯	花蓮林森	(97052)花蓮縣花蓮市林森路69-71號	花蓮縣	花蓮市	121.597318	23.976264
