類別	編號	名稱	地址	縣市	鄉鎮	經度	緯度
公車站牌	10	八勢里	中正東路二段107號(向北)	Taipei		121.45952	25.15123	
公車站牌	1000	內湖國中	陽光街1號同向(向東)	Taipei		121.58784	25.07696	
公車站牌	1000019	健康新城	健康路246號前(向西)	Taipei		121.56216251653	25.054217211063	
公車站牌	1000020	長壽公園	健康路153號(向西)	Taipei		121.559764	25.054069	
公車站牌	1000021	三軍總醫院松山分院	健康路162號前(向西)	Taipei		121.557874385835	25.0538817473717	
公車站牌	1000026	民生國中	撫遠街215號(向北)	Taipei		121.5676949	25.06018904	
公車站牌	1000032	萬芳活動中心	萬美街一段51號對面(向西)	Taipei		121.569474	25.002436	
公車站牌	1000035	興隆國小	興隆路二段289號前(向西)	Taipei		121.553039816886	25.001459963615	
公車站牌	1000036	師大分部	羅斯福路公車專用道(向北)	Taipei		121.538470307254	25.0076706783786	
公車站牌	1000037	興隆市場	興隆路二段97號前候車亭(向西)	Taipei		121.547448469573	24.9995842974218	
公車站牌	1000041	萬利街口	萬芳路13號(向東)	Taipei		121.56623	24.998733	
公車站牌	1000044	羅斯福金門街口	羅斯福3段南昌路二段口(向南)	Taipei		121.5243501	25.0242886	
公車站牌	1000045	公館	基隆路四段75號西側(向東)	Taipei		121.538530831111	25.0120963546845	
公車站牌	1000046	臺灣科技大學	基隆路四段43號對面(155巷口對面)(向東)	Taipei		121.540148830658	25.0134530703612	
公車站牌	1000049	羅斯福金門街口	羅斯福三段3號前(向北)	Taipei		121.5246768	25.02410614	
公車站牌	1000050	捷運古亭站(羅斯福)	羅斯福路公車專用道(向北)	Taipei		121.52269	25.02678	
公車站牌	1000052	承德路口	民族西路(向東)	Taipei		121.5188086	25.06845385	
公車站牌	1000056	捷運大安森林公園站	信義路公車專用道(向西)	Taipei		121.5359159	25.03355035	
公車站牌	1000057	捷運大安森林公園站	信義路公車專用道(向東)	Taipei		121.5356316	25.03349601	
公車站牌	1000058	自強街口	永和區福和路362號(向西)	Taipei		121.514451432086	25.0075863565995	
公車站牌	1000064	中山市場	中山北路一段128-134號(向南)	Taipei		121.52202112765	25.05126405386	
公車站牌	1000066	民族重慶路口	重慶北路三段(向南)	Taipei		121.5137100606	25.0688798965403	
公車站牌	1000072	大龍峒保安宮	庫倫街62號對面候車亭(向西)	Taipei		121.515621	25.07209068	
公車站牌	1000074	民生社區活動中心	民生東路五段135號前(向西)	Taipei		121.561144568697	25.058808540179	
公車站牌	1000075	聯合二村	民生東路五段81號(向西)	Taipei		121.558923442523	25.0586249332513	
公車站牌	1000077	捷運北門站	塔城街12號(向南)	Taipei		121.510134	25.049002	
公車站牌	1000078	中華路北站	中華路一段94號專用道(向南)	Taipei		121.509144127644	25.0455115050969	
公車站牌	1000079	捷運西門站	中華路一段公車專用道(向南)	Taipei		121.508266771006	25.0425165606871	
公車站牌	1000080	小南門	中華路1段公車專用道(向南)	Taipei		121.506903709074	25.0378687908132	
公車站牌	1000081	菜寮(重陽路)	重陽路一段39號(向南)	Taipei		121.48651605944	25.0580096673922	
公車站牌	1000082	臺北車站(忠孝)	捷運臺北車站M5出口~M4出口(交7)(向西)	Taipei		121.51652326089	25.0465305784296	
公車站牌	1000083	中山藝術公園	重新路三段102號前面(向南)	Taipei		121.4923377	25.06053321	
公車站牌	1000086	崩山	深南路142號(向東)	Taipei		121.622976136162	25.0140743021165	
公車站牌	1000087	臺大醫院	中山南路(向北)	Taipei		121.5185552467	25.041403318287	
公車站牌	1000088	和平東路四段	臺北市和平東路4段018路燈旁(向西)	Taipei		121.570509533684	25.0046814962866	
公車站牌	1000089	萬寧街	萬寧街(向西)	Taipei		121.570571682464	25.0032053525918	
公車站牌	1000093	萬美社區	萬寧街2段與萬寧街交叉口(向西)	Taipei		121.5625479	25.00361629	
公車站牌	1000095	大理高中	環和南路二段215號(向東)	Taipei		121.491328	25.031919	
公車站牌	1000096	華江派出所	台北市萬華區環和南路二段202號(向南)	Taipei		121.493016	25.034006	
公車站牌	10001	連城中和路口	新北市土城區連城路29號(向北)	Taipei		121.498554	25.001978	
公車站牌	1000105	金湖路口	金湖路403號(向西)	Taipei		121.60468992917	25.0735474046187	
公車站牌	1000106	金湖路口	金湖路380號(向東)	Taipei		121.604275942446	25.0734224462912	
公車站牌	1000107	捷運信義安和站(信義)	信義路四段與安和路交叉口(向西)	Taipei		121.552849	25.033223	
公車站牌	1000108	臺北郵局	博愛路12號對面(向北)	Taipei		121.51129364418	25.04676505924	
公車站牌	1000109	捷運大安站(信義)	信義路三段198號(向東)	Taipei		121.5432319	25.03332344	
公車站牌	1000111	大南路口	承德路四段220號(向南)	Taipei		121.521560747477	25.0885191533109	
公車站牌	1000112	民權吉林路口	民權東路二段(向東)	Taipei		121.5300637	25.06254664	
公車站牌	1000114	圓山皇宮大廈	承德路四段93號(向北)	Taipei		121.523596	25.08335644	
公車站牌	1000115	陽明高中	中正路510號南側候車亭(向西)	Taipei		121.517889	25.092141	
公車站牌	1000117	捷運劍南路站	北安路845對面(向東)	Taipei		121.555253	25.08484	
公車站牌	1000123	五分埔商圈(中坡北)	中坡北路(向北)	Taipei		121.58077	25.047232	
公車站牌	1000126	捷運大直站	北安路528號對面(向西)	Taipei		121.546139731473	25.0799238282333	
公車站牌	1000127	美麗華	北安路與敬業四路口西南側候車亭(向東)	Taipei		121.558196913178	25.0845384449731	
公車站牌	1000128	民權東路口	民權東路三段(向東)	Taipei		121.5496186	25.06158785	
公車站牌	1000138	仁愛大安路口(仁愛醫院)	仁愛路四段(向東)	Taipei		121.545738	25.03784	
公車站牌	1000142	信義國中(莊敬)	臺北市莊敬路402號(向南)	Taipei		121.565724	25.027402	
公車站牌	1000143	信義國中(莊敬)	臺北市莊敬路381號(向北)	Taipei		121.56521	25.027607	
公車站牌	1000147	美美新村	仁愛街(向南)	Taipei		121.483714	25.081036	
公車站牌	1000148	長壽西街口	正義北路(向南)	Taipei		121.49641	25.067022	
公車站牌	10001482	華泰新城(宜安路)	宜安路157號(向東)	Taipei		121.508875	24.998841	
公車站牌	10001483	華泰新城(宜安路)	宜安路162號(向西)	Taipei		121.509048	24.998949	
公車站牌	10001486	振興公園	天母西路109號對面(向東)	Taipei		121.52352	25.11876	
公車站牌	1000149	大同路口	重新路三段15號(向西)	Taipei		121.494254721567	25.0614913406773	
公車站牌	1000150	正義重新路口	正義北路19號(向北)	Taipei		121.4975969	25.06353227	
公車站牌	1000151	忠孝路口	忠孝路一段(向西)	Taipei		121.491880982174	25.0718610139708	
公車站牌	1000152	舊莊	舊莊街一段199巷16弄2號(向西)	Taipei		121.622734485156	25.0384056841054	
公車站牌	1000155	台泥大樓(馬偕醫院)	中山北路二段110號(向南)	Taipei		121.522776776113	25.0608309862107	
公車站牌	1000156	國賓飯店	中山北路二段(向南)	Taipei		121.522628910085	25.0564276089864	
公車站牌	1000157	國賓飯店	中山北路二段(向北)	Taipei		121.522969858739	25.0562422589842	
公車站牌	1000158	台泥大樓(馬偕醫院)	中山北路二段123號(向北)	Taipei		121.5230341	25.06158152	
公車站牌	1000160	後港里	福港街(向北)	Taipei		121.518222	25.089027	
公車站牌	1000161	福港街	承德路四段311號對向(向北)	Taipei		121.51767	25.09023073	
公車站牌	1000162	民權吉林路口	民權東路二段(向西)	Taipei		121.529161500974	25.0625939969562	
公車站牌	1000163	長安東路二段	松江路75之1號(向北)	Taipei		121.533115926333	25.0495344197275	
公車站牌	1000164	中山女高	臺北市中山區八德路二段(向東)	Taipei		121.5381002	25.04827992	
公車站牌	1000167	民族重慶路口	重慶北路三段(向北)	Taipei		121.513799396271	25.0683085066047	
公車站牌	1000168	大龍峒保安宮	庫倫街62號(向東)	Taipei		121.5154577	25.07195442	
公車站牌	1000169	明倫高中	承德路三段距哈密街30公尺(向北)	Taipei		121.5199745	25.0742494	
公車站牌	1000170	捷運劍潭站(北藝中心)	基河路捷運劍潭站1號出口對面(向南)	Taipei		121.524748	25.084849	
公車站牌	1000171	公教住宅	基河路253號北側(向北)	Taipei		121.522119	25.090677	
公車站牌	1000175	圓山新城一	通北街(向西)	Taipei		121.539602	25.082628	
公車站牌	1000178	後車站	重慶北路一段(向北)	Taipei		121.5135627	25.05026956	
公車站牌	1000179	大道路	大道路(向北)	Taipei		121.5827027	25.0403216	
公車站牌	1000180	忠孝大道路口	大道路(向北)	Taipei		121.581542	25.04243848	
