類別	名稱	地址	縣市	鄉鎮	經度	緯度
家樂福超市	龜山文青店	333 桃園市龜山區文青路137號B1	桃園市	龜山區	121.3872	25.04041
家樂福量販	青埔店	320 桃園市中壢區高鐵南路2段352號2樓	桃園市	中壢區	121.2024346	25.0019772
家樂福量販	南港店	115 台北市南港區南港路二段146號B1	台北市	南港區	121.60023	25.05415
家樂福超市	桃園中埔六店	330 桃園市桃園區中埔六街127號	桃園市	桃園區	121.2953184	25.0179321
家樂福超市	八里商港店	249 新北市八里區商港七路21號1樓	新北市	八里區	121.3976446	25.1483621
家樂福超市	土城廣明店	236 新北市土城區廣明街63巷31號1F	新北市	土城區	121.453874	24.9930186
家樂福超市	高雄九如1店	807 高雄市三民區九如一路886號	高雄市	三民區	120.3178039	22.6403642
家樂福量販	新仁店	717 台南市仁德區大同路三段755號	台南市	仁德區	120.22007	22.9474125
家樂福量販	新楠店	811 高雄市楠梓區土庫一路 60 號	高雄市	楠梓區	120.33107	22.7362156
家樂福量販	北港店	651 雲林縣北港鎮華南路101號	雲林縣	北港鎮	120.29924	23.56957
家樂福量販	新屏店	900 屏東縣屏東市台糖街3號	屏東縣	屏東市	120.489059	22.663353
家樂福量販	西屯店	407 台中市西屯區台灣大道四段1086號	台中市	西屯區	120.614838	24.1839046
家樂福超市	土城中央店	236 新北市土城區中央路二段191號B1	新北市	土城區	121.442169	24.97555
家樂福超市	大安臨江店	106 台北市大安區臨江街87號B1	台北市	大安區	121.555016	25.0302181
家樂福超市	鳳山甲1店	830 高雄市鳳山區和興里五甲一路261號	高雄市	鳳山區	120.354439	22.6171627
家樂福超市	台中水湳店	406 台中市北屯區中清路二段165號	台中市	北屯區	120.6691853	24.1765604
家樂福超市	小港漢民店	812 高雄市小港區漢民路798號	高雄市	小港區	120.364365	22.5684223
家樂福超市	三重新北大道店	241 新北市三重區新北市三重區新北大道一段115號B1	新北市	三重區	121.483978	25.0613766
家樂福超市	台中復興店	402 台中市南區復興路二段120號	台中市	南區	120.663628	24.1240482
家樂福超市	中壢成章1店	320 桃園市中壢區成章一街88號	桃園市	中壢區	121.258156	24.97688
家樂福超市	高雄天祥店	807 高雄市三民區天祥一路102號	高雄市	三民區	120.320175	22.6676369
家樂福超市	內湖江南店	114 台北市內湖區江南街55號	台北市	內湖區	121.577835	25.0775318
家樂福超市	北投明德店	112 台北市北投區明德路161號B1樓	台北市	北投區	121.52066	25.1115189
家樂福超市	左營崇德店	813 高雄市左營區高雄市左營區崇德路360號	高雄市	左營區	120.302238	22.6770153
家樂福超市	內湖成功店	114 台北市內湖區成功路三段174巷8號B1	台北市	內湖區	121.590523	25.08103
家樂福超市	台中大里中興店	412 台中市大里區中興路二段550號	台中市	大里區	120.689941	24.11381
家樂福量販	金門店	892 金門縣金寧鄉伯玉路二段223號	金門縣	金寧鄉	118.338181	24.4406719
