類別	名稱	地址	縣市	鄉鎮	經度	緯度
寶雅	基隆東岸店	基隆市仁愛區仁二路236號1樓	基隆市	仁愛區	121.744013	25.130235
寶雅	基隆東明店	基隆市信義區東明路177號1樓	基隆市	信義區	121.759144	25.127775
寶雅	基隆新豐店	基隆市中正區新豐街460號B1	基隆市	中正區	121.785701	25.135651
寶雅	基隆暖暖店	基隆市暖暖區暖暖街168號	基隆市	暖暖區	121.739956	25.101125
寶雅	台北古亭店	臺北市中正區羅斯福路二段100號1樓	臺北市	中正區	121.522237	25.026727
寶雅	台北站前店	臺北市中正區開封街一段2號B1	臺北市	中正區	121.514517	25.045821
寶雅	台北公館店	臺北市中正區汀洲路三段184-4號	臺北市	中正區	121.534848	25.013259
寶雅	台北林森店	臺北市中山區林森北路487號	臺北市	中山區	121.526536	25.061316
寶雅	台北南西店	臺北市中山區南京西路1號1樓	臺北市	中山區	121.522142	25.052725
寶雅	台北南京東店	臺北市中山區南京東路二段15號1樓	臺北市	中山區	121.528630	25.052345
寶雅	長春遼寧店	臺北市中山區長春路350-1號	臺北市	中山區	121.541643	25.054805
寶雅	松山饒河店	臺北市松山區八德路四段660號	臺北市	松山區	121.575829	25.049890
寶雅	台北民生店	臺北市松山區民生東路5段163-1號	臺北市	松山區	121.562837	25.059274
寶雅	台北台視店	臺北市松山區八德路三段10號	臺北市	松山區	121.550465	25.048113
寶雅	台北東門店	臺北市大安區信義路二段230號B1	臺北市	大安區	121.531701	25.033401
寶雅	忠孝明曜店	臺北市大安區忠孝東路四段218-2號	臺北市	大安區	121.553112	25.040885
寶雅	忠孝復興店	臺北市大安區忠孝東路三段303號1樓	臺北市	大安區	121.543506	25.042118
寶雅	台北臨江店	臺北市大安區臨江街87號B1	臺北市	大安區	121.555016	25.030230
寶雅	台北西門店	臺北市萬華區昆明街98之4號1樓	臺北市	萬華區	121.505188	25.044691
寶雅	忠孝永春店	臺北市信義區忠孝東路五段297-1號	臺北市	信義區	121.573187	25.041120
寶雅	北醫莊敬店	臺北市信義區莊敬路330號	臺北市	信義區	121.563555	25.028240
寶雅	士林芝山店	臺北市士林區中山北路六段1號	臺北市	士林區	121.525131	25.102606
寶雅	台北北護店	臺北市北投區明德路365號	臺北市	北投區	121.521027	25.118562
寶雅	北投中央北店	臺北市北投區中央北路四段532號1樓	臺北市	北投區	121.470045	25.134744
寶雅	北投中和店	臺北市北投區中和街366號	臺北市	北投區	121.499491	25.142058
寶雅	台北北投店	臺北市北投區北投路二段9號B1	臺北市	北投區	121.498813	25.130563
寶雅	東湖康寧店	臺北市內湖區康寧路三段72、74號	臺北市	內湖區	121.611414	25.070068
寶雅	南港高鐵店	臺北市南港區忠孝東路7段369號B棟3樓	臺北市	南港區	121.604513	25.052641
寶雅	台北景美店	臺北市文山區景後街130號	臺北市	文山區	121.542459	24.991519
