類別	名稱	地址	經度	緯度
屈臣氏	南投	南投縣南投市復興路137號	120.687344	23.905816
屈臣氏	南投2	南投縣南投市彰南路二段26號	120.684949	23.908719
屈臣氏	名間	南投縣名間鄉南雅街100號	120.702245	23.837646
屈臣氏	埔里	南投縣埔里鎮南盛街120號	120.966794	23.962934
屈臣氏	埔里2	南投縣埔里鎮中正路463號	120.965919	23.966464
屈臣氏	水里	南投縣水里鄉民生路433號	120.853592	23.817852
屈臣氏	竹山	南投縣竹山鎮集山路三段959號	120.681936	23.755927
屈臣氏	草屯	南投縣草屯鎮太平路二段262號	120.684056	23.976955
屈臣氏	台中	台中市中區繼光街88號	120.682728	24.138787
屈臣氏	中站	台中市中區臺灣大道一段25號	120.684353	24.137983
屈臣氏	三民	台中市北區三民路三段92-3號	120.683887	24.148933
屈臣氏	漢口	台中市北區漢口路三段184號	120.672333	24.166889
屈臣氏	學士	台中市北區健行路449-1號	120.679736	24.159005
屈臣氏	崇德	台中市北屯區崇德路二段65號	120.685158	24.170744
屈臣氏	水湳	台中市北屯區中清路二段216號	120.669452	24.177467
屈臣氏	昌平	台中市北屯區昌平路一段157號	120.690041	24.176468
屈臣氏	東山	台中市北屯區東山路一段250號	120.718081	24.175548
屈臣氏	崇德2	台中市北屯區崇德二路一段97號	120.696248	24.176133
屈臣氏	美南	台中市南區美村南路78號	120.666933	24.116191
屈臣氏	復中	台中市南區台中路64號	120.683078	24.133903
屈臣氏	興大	台中市南區學府路65號	120.674986	24.124724
屈臣氏	忠明	台中市南區忠明南路797號	120.661106	24.123074
屈臣氏	黎明	台中市南屯區黎明路二段417號	120.635026	24.151459
屈臣氏	南屯	台中市南屯區南屯路二段391號	120.643768	24.13814
屈臣氏	黎新	台中市南屯區黎明路一段1010號	120.637669	24.138321
屈臣氏	新大墩	台中市南屯區大墩路556號	120.650111	24.149251
屈臣氏	嶺東	台中市南屯區永春南路52號	120.610508	24.138459
屈臣氏	河南	台中市南屯區河南路四段502號	120.638131	24.147028
屈臣氏	楓樹	台中市南屯區黎明路一段153號	120.626528	24.115739
屈臣氏	后里	台中市后里區甲后路一段447號	120.689207	24.314542
屈臣氏	大甲	台中市大甲區蔣公路7號	120.62607	24.344557
屈臣氏	大肚	台中市大肚區沙田路二段753號	120.54448	24.153764
屈臣氏	大里	台中市大里區中興路二段470號	120.689971	24.109782
屈臣氏	仁化	台中市大里區仁化路563號	120.699003	24.096304
屈臣氏	新塗城	台中市大里區成功路536號	120.7034	24.090991
屈臣氏	大雅	台中市大雅區中清東路197號	120.647299	24.224317
屈臣氏	太平	台中市太平區太平路472-1號	120.715005	24.124891
屈臣氏	太平二	台中市太平區中興路121號	120.714937	24.126674
屈臣氏	新平	台中市太平區中山路三段121號	120.716385	24.148571
屈臣氏	勤益	台中市太平區中山路一段215巷1號	120.732779	24.142938
屈臣氏	東勢	台中市東勢區豐勢路264號	120.830228	24.251852
屈臣氏	精武	台中市東區精武東路105號	120.709589	24.149498
屈臣氏	復站	台中市東區復興路四段217號	120.687468	24.136487
