類別	名稱	地址	縣市	鄉鎮	經度	緯度
萊爾富	台大門市	羅斯福路四段84號1樓+2樓	臺北市	中正區	121.534745	25.014
萊爾富	站前門市	忠孝西路一段49號地下B1(南港線台北車站５號販賣店)	臺北市	中正區	121.5178642	25.0463846
萊爾富	北車門市	忠孝西路一段49號B3層	臺北市	中正區	121.5178642	25.0463846
萊爾富	風采門市	延平南路103號1~3樓	臺北市	中正區	121.509665	25.04209
萊爾富	新中正門市	信義路二段1號1、2樓	臺北市	中正區	121.5248911	25.0354941
萊爾富	寧波門市	寧波西街11號	臺北市	中正區	121.5185738	25.0314235
萊爾富	同安門市	同安街41之1號1樓	臺北市	中正區	121.5224672	25.0247959
萊爾富	南西門市	南京西路316號	臺北市	大同區	121.513	25.053913
萊爾富	保平門市	延平北路二段198號	臺北市	大同區	121.5113595	25.058962
萊爾富	承德門市	承德路一段29號、長安西路59號	臺北市	大同區	121.5172961	25.0509259
萊爾富	花博門市	酒泉街39號	臺北市	大同區	121.5189354	25.0707171
萊爾富	庫倫門市	庫倫街45號1樓+B1	臺北市	大同區	121.5182934	25.0720579
萊爾富	權站門市	民權西路４０號１樓.B１	臺北市	中山區	121.521112	25.0624859
萊爾富	林森門市	林森北路282號1樓	臺北市	中山區	121.5252812	25.055624
萊爾富	森北門市	林森北路426號	臺北市	中山區	121.5253775	25.0599301
萊爾富	新長順門市	林森北路111號1樓	臺北市	中山區	121.5251244	25.0505356
萊爾富	新松江門市	長安東路2段51號1樓	臺北市	中山區	121.532439	25.0485925
萊爾富	南京東門市	南京東路二段100號	臺北市	中山區	121.5319889	25.0518004
萊爾富	晴安門市	農安街14號1、B1	臺北市	中山區	121.5244321	25.0648519
萊爾富	北安門市	北安路616號1樓及608巷3號2F之	臺北市	中山區	121.54906	25.08238
萊爾富	薇閣門市	敬業三路１１號	臺北市	中山區	121.5556427	25.0835286
萊爾富	錦州門市	錦州街219號1樓	臺北市	中山區	121.5321888	25.0604341
萊爾富	吉林門市	農安街129號1樓	臺北市	中山區	121.5300778	25.0649356
