類別	名稱	地址	縣市	鄉鎮	經度	緯度
日藥本舖	東門永康門市	台北市中正區信義路二段209號	台北市	中正區	121.5302	25.03391
日藥本舖	台北站前地下街門市	台北市中正區忠孝西路一段50-1號 站前地下街Z2出口	台北市	中正區	121.5157	25.0463
日藥本舖	城中門市	台北市中正區重慶南路一段123號	台北市	中正區	121.5133	25.04217
日藥本舖	日藥本舖台北南西門市	台北市大同區南京西路46號	台北市	大同區	121.5192	25.05273
日藥本舖	馬偕門市	台北市中山區民生西路24號	台北市	中山區	121.5219	25.05767
日藥本舖	中山門市	台北市中山區南京東路一段52號	台北市	中山區	121.5247	25.05182
日藥本舖	松江門市	台北市中山區松江路295號	台北市	中山區	121.5334	25.061
日藥本舖	饒河門市	台北市松山區八德路四段721號	台北市	松山區	121.5772	25.05024
日藥本舖	三民門市	台北市松山區南京東路五段60號	台北市	松山區	121.5606	25.05125
日藥本舖	西門門市	台北市萬華區西寧南路83號	台北市	萬華區	121.507	25.04574
日藥本舖	忠孝愛買門市	台北市信義區忠孝東路五段297號B2樓	台北市	信義區	121.573162	25.0412245
日藥本舖	信義遠百門市	台北市信義區松仁路58號B2	台北市	信義區	121.5678	25.03685
日藥本舖	天母士東門市	台北市士林區士東路86-2號1樓	台北市	士林區	121.5288	25.112
日藥本舖	天母高島屋門市	台北市士林區忠誠路二段55號1樓	台北市	士林區	121.5315	25.11183
日藥本舖	南港車站門市	台北市南港區忠孝東路七段371號B2	台北市	南港區	121.6072	25.05298
日藥本舖	板橋南雅愛買門市	新北市板橋區貴興路101號2樓	新北市	板橋區	121.4568	25.00157
日藥本舖	板橋車站門市	新北市板橋區縣民大道2段7號2樓	新北市	板橋區	121.4638	25.01413
日藥本舖	府中門市	新北市板橋區府中路67號	新北市	板橋區	121.4581	25.00924
日藥本舖	大坪林門市	新北市新店區民權路41號	新北市	新店區	121.5406	24.98276
日藥本舖	永和頂溪門市	新北市永和區永和路二段175號1樓	新北市	永和區	121.5152	25.01326
日藥本舖	永和門市	新北市永和區中正路154號	新北市	永和區	121.515	24.99635
日藥本舖	中和環球門市	新北市中和區中山路三段122號3樓	新北市	中和區	121.4748	25.0072
