類別	名稱	地址
星巴克	101門市	台北市信義區市府路45號1樓 (101辦公大樓1樓B.C室) (辦公大樓出入口僅限員工出入；101商場B1美食廣場有手扶梯通往門市)
星巴克	101典藏門市	台北市信義區市府路45號B1
星巴克	世貿一館門市	台北市信義區信義路五段5號1樓 (近世貿一館基隆路方向13號出入口)
星巴克	南山門市	台北市信義區莊敬路168號1F (位於南山人壽總部大樓)
星巴克	信義經貿門市	台北市信義區信義路五段106號1樓
星巴克	微風南山門市	台北市信義區松智路17號一樓
星巴克	信義南山門市	台北市信義區松仁路100號2樓
星巴克	新光門市	台北市信義區松壽路11號1樓
星巴克	北醫吳興門市	台北市信義區吳興街220巷1號
星巴克	遠百A13門市	台北市信義區松仁路58號B2
星巴克	北醫門市	台北市信義區吳興街252號1樓
星巴克	台北三興門市	台北市信義區基隆路二段99之1號
星巴克	松仁門市	台北市信義區松仁路7號1樓
星巴克	Bellavita-B1門市	台北市信義區松仁路28號B1
星巴克	時代B2門市	台北市信義區忠孝東路5段8號B2
星巴克	台北時代門市	台北市信義區忠孝東路五段8號2樓
星巴克	通化門市	台北市大安區文昌街209號
星巴克	仁愛延吉門市	台北市大安區延吉街175號
星巴克	仁愛國泰門市	台北市大安區仁愛路四段304號1樓
星巴克	信義松德門市	台北市信義區信義路六段1號
星巴克	華視門市	台北市大安區光復南路180巷14號
星巴克	忠孝延吉門市	台北市大安區忠孝東路四段230號
星巴克	永春門市	台北市信義區忠孝東路五段297號1樓
星巴克	敦富門市	台北市大安區敦化南路二段59號1樓
星巴克	敦南門市	台北市大安區敦化南路二段101號1樓
星巴克	同領門市	台北市大安區忠孝東路四段201號
星巴克	統豐門市	台北市信義區東興路65號1樓
星巴克	敦和門市	台北市大安區敦化南路二段263號
星巴克	龍門門市	台北市大安區忠孝東路四段134號
星巴克	興南門市	台北市大安區復興南路一段323號1樓
星巴克	南京三民門市	台北市松山區南京東路五段171號1樓
星巴克	崇光門市	台北市大安區忠孝東路四段45號B1
星巴克	台視門市	台北市松山區八德路三段10號
星巴克	復安門市	台北市大安區復興南路一段135巷9號
星巴克	興和門市	台北市大安區復興南路二段275號1樓
星巴克	後山埤門市	台北市南港區忠孝東路五段968號
星巴克	北寧門市	台北市松山區南京東路四段56號1樓
星巴克	崇興門市	台北市大安區忠孝東路三段300號B2
星巴克	松山車站門市	台北市信義區松山路11號1樓
星巴克	微風廣場門市	台北市松山區復興南路一段39號G樓
星巴克	長興門市	台北市大安區基隆路三段85號
星巴克	辛亥門市	台北市大安區辛亥路二段175號1樓
星巴克	微風南京門市	台北市松山區南京東路三段337號一樓
星巴克	敦化門市	台北市松山區敦化北路147號1樓
星巴克	建和門市	台北市大安區和平東路二段42-1號
星巴克	三民門市	台北市松山區民生東路五段158號
星巴克	南京復興門市	台北市中山區南京東路三段224號1F
星巴克	慶城門市	台北市松山區慶城街1號1樓
星巴克	宏泰門市	台北市松山區民生東路三段156-1號
星巴克	民生門市	台北市松山區民生東路三段105號1樓
星巴克	忠新門市	台北市中正區忠孝東路二段134巷2號1樓
星巴克	南京建國門市	台北市中山區南京東路三段1號
星巴克	永康街2F門市	台北市大安區永康街2號2樓 &amp; 2號2樓之一
星巴克	三創門市	台北市中正區市民大道三段2號
星巴克	舊宗門市	台北市內湖區舊宗路一段188號1樓
星巴克	師大和平門市	台北市大安區平東路一段129-1號1樓 (師大綜合大樓)
星巴克	松江長安門市	台北市中山區松江路54號1樓
星巴克	舊宗新湖門市	台北市內湖區新湖二路128號
星巴克	松山機場門市	台北市松山區敦化北路340-9號2F (一航廈)
