類別	名稱	地址	縣市	鄉鎮
美廉社	基隆百三店	基隆市七堵區百三街77號	基隆市	七堵區
美廉社	基隆百六店	基隆市七堵區百六街61號	基隆市	七堵區
美廉社	基隆南興店	基隆市七堵區南興路80號	基隆市	七堵區
美廉社	基隆泰安店	基隆市七堵區泰安路1-2號	基隆市	七堵區
美廉社	基隆崇智店	基隆市七堵區崇智街25號1樓	基隆市	七堵區
美廉社	基隆中和店	基隆市中山區中和路164巷1號	基隆市	中山區
美廉社	基隆中華店	基隆市中山區中華路103號	基隆市	中山區
美廉社	基隆西定店	基隆市中山區西定路108號	基隆市	中山區
美廉社	基隆復興二店	基隆市中山區復興路240號	基隆市	中山區
美廉社	基隆中正店	基隆市中正區中正路332號	基隆市	中正區
美廉社	基隆祥豐店	基隆市中正區祥豐街146號	基隆市	中正區
美廉社	基隆豐稔店	基隆市中正區豐稔街17號	基隆市	中正區
美廉社	基隆南榮店	基隆市仁愛區南榮路211號	基隆市	仁愛區
美廉社	基隆愛九二店	基隆市仁愛區愛九路11號	基隆市	仁愛區
美廉社	基隆安一店	基隆市安樂區安一路230號	基隆市	安樂區
美廉社	基隆新城店	基隆市安樂區樂利三街120號	基隆市	安樂區
美廉社	基隆東信店	基隆市信義區東信路156之3號	基隆市	信義區
美廉社	基隆花源店	基隆市信義區花源九街21號	基隆市	信義區
美廉社	基隆深澳坑店	基隆市信義區深澳坑路2-42號	基隆市	信義區
美廉社	基隆暖暖店	基隆市暖暖區暖暖街243-1號	基隆市	暖暖區
美廉社	基隆源遠店	基隆市暖暖區源遠路229號	基隆市	暖暖區
美廉社	士林士東店	台北市士林區士東路91巷30號	台北市	士林區
美廉社	士林中山北店	台北市士林區中山北路七段14巷32號	台北市	士林區
美廉社	士林中正店	台北市士林區中正路655巷17號1樓	台北市	士林區
美廉社	士林永平店	台北市士林區永平街33號	台北市	士林區
美廉社	士林光華店	台北市士林區光華路26巷1-1、1-2號	台北市	士林區
美廉社	士林社子店	台北市士林區社子街63巷27號1樓	台北市	士林區
美廉社	士林通河店	台北市士林區通河街82號	台北市	士林區
美廉社	大同哈密店	台北市大同區哈密街59巷56弄40號	台北市	大同區
美廉社	大同歸綏店	台北市大同區歸綏街207號	台北市	大同區
美廉社	北市昌吉店	台北市大同區昌吉街65號	台北市	大同區
美廉社	大安忠孝東店	台北市大安區忠孝東路三段217巷2弄4號1樓	台北市	大安區
美廉社	大安樂業店	台北市大安區樂業街141號	台北市	大安區
美廉社	北市和平店	台北市大安區和平東路3段308巷15弄1號	台北市	大安區
美廉社	中山民權東店	台北市中山區民權東路二段71巷47號	台北市	中山區
美廉社	中山龍江店	台北市中山區龍江路356巷58號	台北市	中山區
美廉社	北市德惠店	台北市中山區德惠街119號	台北市	中山區
美廉社	中正汀州店	台北市中正區汀州路一段220號	台北市	中正區
美廉社	中正金門店	台北市中正區金門街11號1樓	台北市	中正區
美廉社	中正惠安店	台北市中正區惠安街21號1樓	台北市	中正區
美廉社	內湖大湖店	台北市內湖區大湖山莊街219巷1號	台北市	內湖區
美廉社	內湖內湖店	台北市內湖區內湖路一段285巷65弄28號1樓	台北市	內湖區
美廉社	內湖文德店	台北市內湖區文德路66巷63號	台北市	內湖區
美廉社	內湖安泰店	台北市內湖區安泰街12號	台北市	內湖區
美廉社	內湖東湖二	台北市內湖區東湖里東湖路113巷60號	台北市	內湖區
美廉社	內湖金龍店	台北市內湖區內湖路三段104號1樓	台北市	內湖區
美廉社	內湖康寧二店	台北市內湖區康寧路一段147號	台北市	內湖區
美廉社	內湖康寧店	台北市內湖區康寧路三段189巷21弄10號	台北市	內湖區
美廉社	內湖新明店	台北市內湖區新明路419號	台北市	內湖區
美廉社	內湖麗山二店	台北市內湖區麗山街68巷12號1樓	台北市	內湖區
美廉社	內湖麗山店	台北市內湖區麗山街348巷20號1樓	台北市	內湖區
美廉社	文山木新店	台北市文山區木新路三段323號	台北市	文山區
美廉社	文山永安店	台北市文山區永安街22巷31號	台北市	文山區
美廉社	文山忠順二店	台北市文山區忠順街一段26巷12弄8號	台北市	文山區
美廉社	文山景華店	台北市文山區景華街107號1樓	台北市	文山區
美廉社	文山景福店	台北市文山區景福街14號	台北市	文山區
美廉社	文山景豐店	台北市文山區景豐街2巷10號	台北市	文山區
美廉社	文山新光店	台北市文山區新光路一段69號	台北市	文山區
美廉社	文山萬安二店	台北市文山區萬安街35號	台北市	文山區
美廉社	文山萬美店	萬美街一段65號	台北市	文山區
美廉社	文山興隆二店	台北市文山區興隆路2段220巷43號1樓	台北市	文山區
美廉社	文山興隆三店	台北市文山區興隆路二段203巷2弄2號	台北市	文山區
美廉社	文山興隆店	台北市文山區興隆路3段185巷3弄1號1樓	台北市	文山區
美廉社	北投中央南店	台北市北投區中央南路一段133號	台北市	北投區
美廉社	北投中和店	台北市北投區中和街499號	台北市	北投區
美廉社	北投公館店	台北市北投區公館路215號	台北市	北投區
美廉社	北投石牌二店	台北市北投區石牌路一段166巷101號1樓	台北市	北投區
美廉社	北投石牌店	台北市北投區石牌路二段342號	台北市	北投區
美廉社	北投立農店	台北市北投區立農街二段267號	台北市	北投區
美廉社	北投行義店	台北市北投區行義路140巷7號	台北市	北投區
美廉社	北投知行店	台北市北投區知行路225巷17號	台北市	北投區
美廉社	北投泉源店	台北市北投區泉源路35巷1號	台北市	北投區
美廉社	北投致遠店	台北市北投區致遠一路1段94號	台北市	北投區
美廉社	北投振華店	台北市北投區振華街8號	台北市	北投區
美廉社	北投實踐店	台北市北投區實踐街52號	台北市	北投區
美廉社	松山八德店	台北市松山區八德路3段74巷45弄1號	台北市	松山區
美廉社	松山南京東二店	台北市松山區南京東路五段250巷36弄25號	台北市	松山區
美廉社	松山南京東店	台北市松山區南京東路四段133巷5弄8號	台北市	松山區
美廉社	松山復興店	台北市松山區復興北路427巷1號	台北市	松山區
美廉社	松山新東店	台北市松山區新東街12巷1號	台北市	松山區
美廉社	松山寶清店	台北市松山區寶清街40號	台北市	松山區
美廉社	北市富陽店	台北市信義區富陽街81號1樓	台北市	信義區
美廉社	信義永吉二店	台北市信義區永吉路326巷5號	台北市	信義區
美廉社	信義永吉店	台北市信義區永吉路180巷66弄24號1樓	台北市	信義區
美廉社	信義光復店	台北市信義區光復南路447-40號	台北市	信義區
美廉社	信義吳興二店	台北市信義區吳興街345巷1號	台北市	信義區
美廉社	信義吳興三店	台北市信義區吳興街522號	台北市	信義區
