類別	名稱	地址	縣市	鄉鎮
肯德基	基隆仁一餐廳	基隆市仁愛區劉銘傳路1號	基隆市	仁愛區
肯德基	基隆忠二餐廳	基隆市仁愛區忠二路13號	基隆市	仁愛區
肯德基	士林文昌餐廳	台北市士林區中正路351號	台北市	士林區
肯德基	天母中山餐廳	台北市士林區中山北路六段748、750號(原台北天母店搬遷至現址)	台北市	士林區
肯德基	台北士林餐廳	台北市士林區文林路88號	台北市	士林區
肯德基	台北承德餐廳	台北市大同區承德路一段38號	台北市	大同區
肯德基	台北台大餐廳	台北市大安區新生南路三段96-1號	台北市	大安區
肯德基	台大卓越餐廳	台北市大安區羅斯福路四段1號	台北市	大安區
肯德基	台北中山餐廳	台北市中山區南京東路三段222號(兄弟飯店斜對面)	台北市	中山區
肯德基	台北中崙餐廳(中崙大潤發B1)	台北市中山區八德路二段306號B1	台北市	中山區
肯德基	台北南京東三餐廳	台北市中山區南京東路一段88號	台北市	中山區
肯德基	台北雙連餐廳	台北市中山區民生西路9號	台北市	中山區
肯德基	台北八德餐廳	台北市中正區八德路一段64號	台北市	中正區
肯德基	台北南昌餐廳	台北市中正區南昌路一段12號	台北市	中正區
肯德基	台北內湖餐廳	台北市內湖區內湖路一段230號	台北市	內湖區
肯德基	內湖瑞光餐廳	台北市內湖區瑞光路292號	台北市	內湖區
肯德基	台北東湖三餐廳	台北市內湖區東湖路138號	台北市	內湖區
肯德基	文山興隆餐廳	台北市文山區興隆路三段9號	台北市	文山區
肯德基	文山木柵餐廳	台北市文山區木柵路三段82號	台北市	文山區
肯德基	北投光明餐廳	台北市北投區光明路225號	台北市	北投區
肯德基	台北南京東二餐廳	台北市松山區南京東路五段164號	台北市	松山區
肯德基	台北光復餐廳	台北市信義區光復南路465號1F	台北市	信義區
肯德基	台北莊敬餐廳	台北市信義區莊敬路336號1樓	台北市	信義區
肯德基	台北永春餐廳	台北市信義區忠孝東路五段297號B1	台北市	信義區
肯德基	台北南港餐廳	台北市南港區三重路11號1-2樓	台北市	南港區
肯德基	台北萬大餐廳	台北市萬華區萬大路286號	台北市	萬華區
