類別	名稱	地址	縣市	鄉鎮
萊爾富	北市杭州店	106台北市大安區杭州南路二段5號	台北市	大安區
萊爾富	北市金湖店	114台北市內湖區金湖路403號	台北市	內湖區
萊爾富	北市國醫店	114台北市內湖區民權東路六段123巷30、32號	台北市	內湖區
萊爾富	桃縣西濱店	327桃園市新屋區中山西路3段618號	桃園市	尖石鄉
萊爾富	彰市三民店	500彰化縣彰化市三民路386號	彰化縣	西區
萊爾富	北市新喜店	104台北市中山區德惠街167巷2號	台北市	中山區
萊爾富	竹北東興店	302新竹縣竹北市東興路二段6、8號	新竹縣	蘇澳鎮
萊爾富	北縣員山店	235新北市中和區員山路502-7號	新北市	七堵區
萊爾富	南市海安店	704台南市北區臨安路2段215號	台南市	四湖鄉
萊爾富	新竹竹中店	300新竹市東區光復路一段32、34號	新竹市	金湖鎮
萊爾富	新竹建中店	300新竹市東區建中一路2號	新竹市	金湖鎮
萊爾富	北市明湖店	114台北市內湖區民權東路6段296巷68號	台北市	內湖區
萊爾富	北市試院店	116台北市文山區試院路104號	台北市	文山區
萊爾富	北市饒河店	105台北市松山區饒河街35號	台北市	松山區
萊爾富	中壢龍和店	320桃園市中壢區龍和一街240號	桃園市	湖口鄉
萊爾富	北縣興南店	235新北市中和區信義街50號	新北市	七堵區
萊爾富	北市指南店	116台北市文山區指南路二段32號	台北市	文山區
萊爾富	北縣員山二店	235新北市中和區員山路581巷2號	新北市	七堵區
萊爾富	北市羅斯福店	106台北市大安區羅斯福路二段75之1號	台北市	大安區
萊爾富	北市陽光店	114台北市內湖區陽光街347號	台北市	內湖區
萊爾富	台南南園店	704台南市北區南園街103號	台南市	四湖鄉
萊爾富	北市湖光店	114台北市內湖區瑞光路188巷60號	台北市	內湖區
萊爾富	北市湖森店	114台北市內湖區瑞光路66巷33號	台北市	內湖區
萊爾富	北縣金陽店	208新北市金山區中正路26號	新北市	信義區
萊爾富	北市正台店	100台北市中正區常德街1號	台北市	中正區
萊爾富	台南南新店	700台南市中西區西門路一段580號	台南市	西螺鎮
萊爾富	北市安國店	106台北市大安區光復南路290巷25號,25-1號	台北市	大安區
萊爾富	中壢桃威店	320桃園市中壢區延平路268、270號	桃園市	湖口鄉
萊爾富	中壢桃江店	320桃園市中壢區中園路二段544號	桃園市	湖口鄉
萊爾富	雲縣雲發店	631雲林縣大埤鄉尚義村延平路三段582.584號	雲林縣	布袋鎮
萊爾富	北市文福店	116台北市文山區景福街230巷2號	台北市	文山區
萊爾富	北市同吉店	103台北市大同區昌吉街63號	台北市	大同區
萊爾富	北市權湖店	114台北市內湖區民權東路六段58號	台北市	內湖區
萊爾富	北縣和泰店	235新北市中和區泰和街10號	新北市	七堵區
萊爾富	北市山寧店	104台北市中山區長安東路二段171-7號	台北市	中山區
萊爾富	竹北竹振店	302新竹縣竹北市中華路348號	新竹縣	蘇澳鎮
萊爾富	嘉縣嘉路店	602嘉義縣番路鄉下坑村下坑４６號	嘉義縣	南投市
萊爾富	北市文武店	116台北市文山區羅斯福路五段203號	台北市	文山區
萊爾富	北市安復店	106台北市大安區復興南路一段135巷21號	台北市	大安區
萊爾富	北市山華店	104台北市中山區長春路208號	台北市	中山區
萊爾富	北市松華店	105台北市松山區南京東路五段34號	台北市	松山區
萊爾富	北市正泉店	100台北市中正區泉州街31、33號、寧波西街104號一樓	台北市	中正區
萊爾富	北市安華店	106台北市大安區延吉街131巷43號	台北市	大安區
萊爾富	北市松康店	105台北市松山區健康路325巷12弄2號	台北市	松山區
萊爾富	新竹竹森店	300新竹市東區林森路46號	新竹市	金湖鎮
萊爾富	北市北天店	112台北市北投區中央北路4段8號	台北市	北投區
萊爾富	中壢桃田店	320桃園市中壢區榮民南路301號	桃園市	湖口鄉
萊爾富	新竹竹化店	300新竹市東區埔頂路71號	新竹市	金湖鎮
萊爾富	大里中愛店	412台中市大里區東榮路486.488號	台中市	三義鄉
萊爾富	高市高梓店	811高雄市楠梓區楠梓新路２５７＆２５９號一樓	高雄市	南化區
萊爾富	新竹竹國店	300新竹市東區北大路1號	新竹市	金湖鎮
萊爾富	北市港北店	115台北市南港區中坡北路50巷1號	台北市	南港區
萊爾富	北縣和圓店	235新北市中和區圓通路2.4.6.號	新北市	七堵區
萊爾富	新竹竹利店	300新竹市東區水利路77、79號一樓	新竹市	金湖鎮
萊爾富	北市港漢店	115台北市南港區南港路二段2,4號	台北市	南港區
萊爾富	南投投順店	540南投縣南投市南崗三路240號	南投縣	花壇鄉
萊爾富	新竹竹橋店	300新竹市東區明湖路712號	新竹市	金湖鎮
萊爾富	北市信德店	110台北市信義區虎林街164巷60弄2號一樓	台北市	信義區
萊爾富	北市安建店	106台北市大安區建國南路一段337號	台北市	大安區
萊爾富	桃縣桃奉店	327桃園市新屋區中華南路二段11、13號	桃園市	尖石鄉
萊爾富	屏縣屏邊店	927屏東縣林邊鄉仁和村4鄰中山路187號	屏東縣	杉林區
萊爾富	北市北崗店	112台北市北投區中央北路三段４４、４６號	台北市	北投區
萊爾富	北市松遠店	105台北市松山區撫遠街369巷36號	台北市	松山區
萊爾富	中壢桃吉店	320桃園市中壢區中豐路79、79-1號	桃園市	湖口鄉
萊爾富	大里中爽店	412台中市大里區爽文路306號1樓	台中市	三義鄉
萊爾富	北市同密店	103台北市大同區哈密街59巷21號	台北市	大同區
萊爾富	竹北竹洲店	302新竹縣竹北市中正西路671號	新竹縣	蘇澳鎮
萊爾富	嘉縣嘉竹店	604嘉義縣竹崎鄉紫雲村大竹圍１４之９號	嘉義縣	鹿谷鄉
萊爾富	北市信吉店	110台北市信義區永吉路125號一樓	台北市	信義區
萊爾富	北市士慶店	111台北市士林區社正路75號	台北市	士林區
萊爾富	新竹竹峰店	300新竹市東區高峰路386巷5號	新竹市	金湖鎮
萊爾富	北市信彩店	110台北市信義區基隆路一段350之41,43號一樓	台北市	信義區
萊爾富	北市同達店	103台北市大同區延平北路二段114.116.118號及民生西路335號	台北市	大同區
萊爾富	北市安皓店	106台北市大安區忠孝東路4段181巷8號	台北市	大安區
萊爾富	北市松育店	105台北市松山區八德路3段119號	台北市	松山區
萊爾富	桃縣桃花店	327桃園市新屋區中山東路一段162號	桃園市	尖石鄉
萊爾富	彰化彰鴻店	500彰化縣彰化市泰和東街372號	彰化縣	西區
萊爾富	新竹竹蓉店	300新竹市東區光復路二段153號	新竹市	金湖鎮
萊爾富	宜蘭宜兆店	260宜蘭縣宜蘭市復興路一段88,90號	宜蘭縣	土城區
