類別	名稱	地址	經度	緯度
麥當勞	羅東興東	宜蘭縣羅東鎮興東路73號	121.7682889	24.67792016
麥當勞	宜蘭五結(含現烤法點)	宜蘭縣五結鄉二結村中正路3段45號	121.7719775	24.70871429
麥當勞	宜蘭新月廣場旗艦專櫃	宜蘭縣宜蘭市神農路2段135號	121.7504668	24.74991947
麥當勞	宜蘭新興(含現烤法點)	宜蘭市宜興路1段263號	121.7581346	24.75691074
麥當勞	宜蘭礁溪(含現烤法點)	宜蘭縣礁溪鄉礁溪路4段158號	121.7701083	24.82215196
麥當勞	頭城青雲(含現烤法點)	宜蘭縣頭城鎮青雲路三段300號	121.8279163	24.8597006
麥當勞	新店安康(含現烤法點)	新北市新店區安德街1號1樓	121.5119836	24.96218787
麥當勞	新店北新(含現烤法點)	新北市新店區北新路2段102號	121.5431063	24.9747747
麥當勞	新店家樂福	新北市新店區中興路三段1之4號	121.5467476	24.97605492
麥當勞	新店中正三(含現烤法點)	新北市新店區中正路331號	121.535866	24.975055
麥當勞	台北木新	文山區木新路3段174號1樓	121.5606155	24.98175847
麥當勞	新店北新二	新北市新店區北新路3段51號	121.541786	24.98059995
麥當勞	台北指南	文山區指南路2段67號1樓	121.5747272	24.98794091
麥當勞	台北木柵	文山區木柵路3段57號1樓	121.5664791	24.98864169
麥當勞	新店中正二(含現烤法點)	新北市新店區中正路506號1樓	121.533884	24.982917
麥當勞	台北考試院	台北市文山區木柵路1段137號	121.5502267	24.98760995
麥當勞	景美	台北市文山區景中街30巷12號	121.5420457	24.99224974
麥當勞	台北動物園三	台北市文山區新光路二段30號台北市立動物園前區1F	121.5788795	24.9988582
麥當勞	中和景新(含現烤法點)	新北市中和區景新街430,432號1~2樓	121.512963	24.98854
麥當勞	中和興南(含現烤法點)	新北市中和區興南路1段83號1樓	121.510146	24.98951282
麥當勞	台北興隆	台北市文山區興隆路3段54號	121.5558904	25.00014075
麥當勞	永和得和	新北市永和區得和路405號1樓	121.5256735	24.99928634
麥當勞	三峽文化(含現烤法點)	新北市三峽區文化路72號1樓	121.3712882	24.93624099
麥當勞	永和中正	新北市永和區中正路244號	121.5165403	24.99834545
麥當勞	三峽學成旗艦專櫃(含現烤法點)	新北市三峽區學成路258號	121.37542212	24.94231285
麥當勞	土城中央	新北市土城區中央路2段159號1樓	121.4421692	24.97624601
麥當勞	土城金城(含現烤法點)	新北市土城區金城路3段54號	121.4660237	24.98648716
麥當勞	永和永安	新北市永和區中和路503號	121.5107549	25.00238839
麥當勞	大溪慈湖(含現烤法點)	桃園市大溪區慈湖路99號1樓	121.288954	24.88177605
麥當勞	土城裕民	新北市土城區裕民路180號	121.4528292	24.98523597
麥當勞	中和連城	新北市中和區連城路376之1號1~3樓	121.481267	24.995315
麥當勞	中和	新北市中和區中和路38號	121.4999476	25.00155849
麥當勞	永和竹林	新北市永和區竹林路235號1樓	121.5209161	25.00822332
麥當勞	彰化溪湖旗艦專櫃(含現烤法點)	彰化縣溪湖鎮員鹿路二段430號	120.486416	23.956418
麥當勞	彰化秀水(含現烤法點)	彰化縣秀水鄉彰水路二段749號	120.49876	24.0336
麥當勞	花壇中山旗艦專櫃(含現烤法點)	彰化縣花壇鄉花壇村中山路1段345號	120.5434268	24.02223027
麥當勞	員林中山二(含現烤法點)	彰化縣員林市中山路一段330號	120.5654057	23.9494729
麥當勞	北斗中山旗艦專櫃(含現烤法點)	彰化縣北斗鎮中山路二段102號	120.53419	23.89628
麥當勞	員林中山	彰化縣員林鎮中山路2段43號	120.5705077	23.96071434
麥當勞	鹿港中正旗艦專櫃(含現烤法點)	彰化縣鹿港鎮中正路415號1樓	120.4385332	24.05950311
麥當勞	員林三民(含現烤法點)	彰化縣員林鎮三民東街329號	120.5814504	23.96072162
麥當勞	二林斗苑旗艦專櫃(含現烤法點)	彰化縣二林鎮斗苑路4段376號	120.3796594	23.89952876
麥當勞	彰化中山二旗艦專櫃(含現烤法點)	彰化縣彰化市中山路一段478號	120.53674	24.06354
麥當勞	彰化曉陽旗艦專櫃(含現烤法點)	彰化縣彰化市曉陽路156號1-2樓	120.5368897	24.0732422
麥當勞	彰化中正	彰化縣彰化市中正路1段566號1樓	120.539424	24.08170235
麥當勞	彰化和美(含現烤法點)	彰化縣和美鎮彰美路5段2號1樓	120.505399	24.10565451
麥當勞	彰化家樂福	彰化縣彰化市金馬路二段321號B1F	120.54236	24.09454
麥當勞	田中中正(含現烤法點)	彰化縣田中鎮中正路376號	120.5828399	23.85983796
麥當勞	彰化金馬(含現烤法點)	彰化縣彰化市金馬路2段55號1樓	120.5482045	24.09638082
麥當勞	南投南崗旗艦專櫃(含現烤法點)	南投縣南投市南崗二路313號1樓	120.6776345	23.91342797
麥當勞	草屯中正	南投縣草屯鎮中正路654號1樓	120.6845356	23.97896653
麥當勞	烏日新興旗艦專櫃(含現烤法點)	台中市烏日區新興路253號	120.6241642	24.1041497
麥當勞	台中高鐵	台中市烏日區站區二路8號2樓	120.6158679	24.11179165
麥當勞	台中烏日(含現烤法點)	台中市烏日區中山路1段346號1樓	120.638677	24.10796599
麥當勞	霧峰林森(含現烤法點)	台中市霧峰區林森路38號1樓	120.6963583	24.05478236
麥當勞	台中復興二	台中市南區復興路2段6-1號1樓	120.6580976	24.11712049
麥當勞	台中五權西二旗艦專櫃(含現烤法點)	台中市南屯區五權西路2段961號	120.628323	24.147793
麥當勞	台中文心南旗艦專櫃(含現烤法點)	台中市南屯區文心南路61號	120.6460461	24.13498894
麥當勞	大里國光旗艦專櫃(含現烤法點)	台中市大里區國光路2段177號1樓	120.6812382	24.10388649
麥當勞	大里中興旗艦專櫃(含現烤法點)	台中市大里區中興路1段175號1樓	120.6968263	24.08461628
麥當勞	台中五權西旗艦專櫃(含現烤法點)	台中市南屯區五權西路2段250號1樓	120.6489045	24.14029555
麥當勞	台中黎明二(含現烤法點)	台中市南屯區黎明路二段386號	120.636072	24.15076
麥當勞	台中新興	台中市龍井區遊園南路185號1樓	120.5841128	24.1819267
麥當勞	大里大買家	台中市大里區國光路2段710號2樓	120.6795128	24.11600311
麥當勞	台中復興三旗艦專櫃(含現烤法點)	台中市南區復興路3段41號	120.668388	24.128573
麥當勞	台中公益二(含現烤法點)	台中市南屯區公益路二段128號	120.648873	24.151268
麥當勞	文心家樂福中心	台中市南屯區文心路1段521號B1	120.6466325	24.1534803
麥當勞	名間彰南(含現烤法點)	南投縣名間鄉濁水村彰南路1-7號	120.7049856	23.83576223
麥當勞	台中文心二旗艦專櫃(含現烤法點)	台中市西屯區文心路2段57號1樓	120.6466832	24.15715893
麥當勞	台中老虎城	台中市西屯區河南路3段120號3F	120.6382414	24.16428799
麥當勞	台中復興	台中市南區復興路3段318號	120.6784628	24.13230608
麥當勞	虎尾新興	雲林縣虎尾鎮新興路88號1樓	120.4355383	23.71066844
麥當勞	台中新三越	台中市西屯區台灣大道三段301號12樓	120.643774	24.165483
麥當勞	台中中港六旗艦專櫃(含現烤法點)	台中市西屯區台灣大道四段1058號	120.61529	24.18382
麥當勞	台中大遠百	台中市西屯區台灣大道三段251號12樓	120.643642	24.165882
麥當勞	中港二旗艦專櫃(含現烤法點)	台中市西屯區台灣大道四段620號	120.6239277	24.17927149
麥當勞	台中河南(含現烤法點)	台中市西屯區上石里河南路2段466號1樓	120.6432695	24.17088201
麥當勞	中港四旗艦專櫃(含現烤法點)	台中市西區台灣大道二段412號B1	120.6637485	24.155067
麥當勞	斗六民生(含現烤法點)	雲林縣斗六市民生路156-1號1樓	120.5421476	23.71181388
麥當勞	台中中正	台中市中區台灣大道一段36號	120.684479	24.13835899
麥當勞	台中館前(含現烤法點)	台中市北區館前路1號2樓	120.6662211	24.1556745
麥當勞	台中新時代1F B1	台中市東區復興路4段186號1樓B1	120.6877781	24.13621964
麥當勞	台中文心六(含現烤法點)	台中市西屯區文心路三段119號	120.65507	24.16859
